Team,Matches Played,Wins,Losses,Win %,Net Run Rate,Points,Recent Form
KKR,14,9,3,64.3,1.428,20,NNWWW
SRH,14,8,5,57.1,0.414,17,WNWLW
RR,14,8,5,57.1,0.273,17,NLLLL
RCB,14,7,7,50.0,0.459,14,WWWWW
CSK,14,7,7,50.0,0.392,14,LWLWL
DC,14,7,7,50.0,-0.377,14,WLWLW
LSG,14,7,7,50.0,-0.667,14,WLLLW
GT,14,5,7,35.7,-1.063,12,NNWLL
PBKS,14,5,9,35.7,-0.353,10,LWLLW
MI,14,4,10,28.6,-0.318,8,LLWLL
